idsku;ultimocusto
1580;3655.34
VIR-1580-ML;3655.34
1821;3288.1905
1579;2644.38
VIR-1579-ML;2644.38
6037;2070.7981
VIR-6037-ML;2070.7981
1341;2000.09
VIR-1341-ML;2000.09
1739;1892.02
VIR-1739-ML;1892.02
2377;1637.44
VIR-2377-ML;1637.44
1840;1619.435
VIR-1840-ML;1619.435
6404;1544.954
VIR-6404-ML;1544.954
4340;1540.91575
VIR-4340-1;1540.91575
VIR-4340-ML;1540.91575
1748;1516.2945
VIR-1748-ML;1516.2945
VIR-1342-ML;1492.554
4600;1490.13
VIR-4600-ML;1490.13
2877;1399.05
VIR-2877-ML;1399.05
4599;1298.03
VIR-4599-ML;1298.03
1628;1295.24479
VIR-1628-ML;1295.24479
1839;1225.23437
VIR-1839-ML;1225.23437
1735;1179.3575
VIR-1735-ML;1179.3575
1738;1072.5752
VIR-1738-1;1072.5752
VIR-1738-ML;1072.5752
2075;1064.0185
VIR-2075-ML;1064.0185
866;996.74
911;996.74
VIR-866-ML;996.74
VIR-911-ML;996.74
3927;986.7
6934;970
VIR-4206-MLP;960
7974;951.074
4605;930.38537
VIR-4605-ML;930.38537
7975;927.349
2342;916.23
VIR-2342-ML;916.23
1623;914.8968
VIR-1623-ML;914.8968
4698;898.17
VIR-4698-ML;898.17
4671;881.77
1055;875.605
VIR-1055-ML;875.605
1445;875.6033
VIR-1445-ML;875.6033
7163;871.938
VIR-7163-ML;871.938
1902;861.24
VIR-1902-ML;861.24
1885;856.955
VIR-1885-1;856.955
VIR-1885-ML;856.955
7545;854.91
1884;849.97
VIR-1884-ML;849.97
2113;839.307
VIR-2113-ML;839.307
4601;821.27
VIR-4601-ML;821.27
7932;819.84
VIR-7932-ML;819.84
VIR-3927-FULL;803.88
7931;796.115
VIR-7931-ML;796.115
1625;762.6675
VIR-1625;762.6675
VIR-1625-ML;762.6675
1908;757.09
VIR-1908-ML;757.09
4636;755.5485
VIR-4636-ML;755.5485
1742;752.09
VIR-1742-1;752.09
VIR-1742-ML;752.09
4664;750.5915
VIR-4664-ML;750.5915
2903;745.67
6576;719.1
VIR-3290-ML;709.68
1740;705.303375
VIR-1740-ML;705.303375
2902;704.55
VIR-2902;704.55
VIR-3963-ML;700.8
1746;699.102
VIR-1746-ML;699.102
1747;699.1
VIR-1747-ML;699.1
1779;663.844375
VIR-1779;663.844375
VIR-1779-ML;663.844375
6575;640.61
VIR-4206-ML1;640
3806;636.80375
VIR-3806-ML;636.80375
VIR-2903;625.23
7520;615.5666
VIR-7520-ML;615.5666
7929;594.72
7930;594.72
VIR-7929-ML;594.72
VIR-7930-ML;594.72
868;589.8333
VIR-868-1;589.8333
VIR-868-2;589.8333
VIR-868-3;589.8333
VIR-868-ML;589.8333
1883;588.72333
VIR-1883-ML;588.72333
VIR-1740-FULL;584.77
7874;579.086
VIR-7874-ML;579.086
6936;577.5898
VIR-6936;577.5898
VIR-6936-ML;577.5898
6669;566.64
1090;550.9765
VIR-1090-ML;550.9765
1906;547.025
VIR-1906-ML;547.025
2161;537.625
VIR-2161;537.625
VIR-795-1;525.71
867;491.9225
VIR-867-1;491.9225
VIR-867-ML;491.9225
7267;491.7367
VIR-7267;491.7367
3916;487.02
VIR-3916-FULL;487.02
2067;486.005
VIR-2067-ML;486.005
3563;477.32
VIR-3563-1;477.32
1108;475
1444;475
VIR-1108-ML;475
VIR-1444-ML;475
4381;473.1225
VIR-4381-ML;473.1225
1904;459.77
VIR-1904-ML;459.77
4619;453.19375
VIR-4619-ML;453.19375
2901;451.85
VIR-2901;451.85
7265;441.98333
VIR-7265;441.98333
7927;436.8
7928;436.8
VIR-7927-ML;436.8
VIR-7928-ML;436.8
2068;434.53
VIR-2068-1;434.53
VIR-2068-ML;434.53
3931;428.1007
VIR-3931-ML;428.1007
7875;425.606
VIR-7875-ML;425.606
2900;424
VIR-2900;424
1854;415.57
VIR-1854;415.57
1867;415.193
VIR-1867-ML;415.193
VIR-ML-0005;409.3646
4759;392.62
3837;390.6
VIR-4730-ML;386.735
7980;381.62325
VIR-ML-0001;379.345
4520;369.9
2852;366.4955
VIR-2852-ML;366.4955
7253;364.81
VIR-7253-ML;364.81
VIR-794-1;363.11
7611;359.02
1841;358.0705
VIR-1841-ML;358.0705
1871;356.799
VIR-1871-ML;356.799
2160;349.18
VIR-2160;349.18
VIR-2852-FULL;342.34
3183;338.74
1584;337.4
1098;335.426
VIR-1098-1;335.426
1907;323.005
3400;321.96666
VIR-3400-1;321.96666
VIR-3400-ML;321.96666
VIR-437-MLP;318
1583;317.1
VIR-4001-ML;315.935
7301;314.45
VIR-7301-ML;314.45
3109;313.58158
3829;313.2
3546;312.312
VIR-3546-ML;312.312
6935;312.11
4189;299.52
4674;298.07
VIR-4000-ML;293.17
3926;290.95
4752;290.2
4726;287.2515
VIR-4726-ML;287.2515
VIR-3562-1;285.2805
7881;284.275
4764;282.66
7912;282.47
VIR-7912-ML;282.47
1868;281.088875
VIR-1868-ML;281.088875
1826;280.89666
VIR-3915-FULL;279.9
VIR-3915-ML;279.9
3996;279.43666
VIR-3996-ML;279.43666
VIR-747-MLP;279.0973
3248;275
3249;275
3265;273.427
3262;273.426
4725;272.613
VIR-4725-ML;272.613
7249;265.85445
VIR-7249-ML;265.85445
VIR-2038-ML;265.78
3915;263.19
3108;260.978421
6923;259.187
VIR-6923-ML;259.187
VIR-3377-ML;259.14
2823;258.45
VIR-2823;258.45
2369;258.35
3247;258.35
7189;258.35
4766;255.06
7812;255.06
3498;253.43
3510;253.4168
3884;253.36
3886;253.36
1896;253.345
1897;253.345
VIR-1896-ML;253.345
VIR-1897-ML;253.345
1340;251.965
VIR-1340-1;251.965
VIR-1340-ML;251.965
1903;251.955
VIR-1903-1;251.955
VIR-791-1;250.99
3925;247.97
4729;246.4436
VIR-4729-ML;246.4436
2458;245.616
VIR-2458-ML;245.616
2457;245.615
VIR-2457-ML;245.615
4525;242.25
2622;239.44
3453;238.28
1825;236.16
1845;236.16
5542;235.39
VIR-7390-ML;235.1
6938;229.867
VIR-6938-ML;229.867
4006;229.24
3924;227.93
1337;227.6875
VIR-1337-ML;227.6875
1886;225.9
VIR-1886-1;225.9
VIR-1886-ML;225.9
4745;225.18
VIR-6461-ML;224
6667;223.7475
3502;220.3575
7811;220.01
2855;219.65
VIR-2855-ML;219.65
VIR-1868-FULL;218.21
VIR-7249-FULL;216.63
4283;216.019
VIR-4725-FULL;215.01
2625;214.25
606;210.71
VIR-606-1;210.71
VIR-217-ML;210
3250;209.24
3251;209.24
4333;208.94
4334;208.94
4744;207.29
1434;207.122
VIR-1434-1;207.122
VIR-1434-ML;207.122
VIR-5422-ML;206
2898;205.2
VIR-2898-1;205.2
4335;204.28
4336;204.28
7534;203.2
7250;200.91075
VIR-7250-1;200.91075
VIR-7250-ML;200.91075
6867;200.84
7810;198.81
3509;195.86112
752;194.9
4769;193.68
4772;193.68
6866;190.798
4727;188.9
VIR-4727-ML;188.9
4731;188.6805
VIR-4731-ML;188.6805
1407;187.49
VIR-1407-ML;187.49
1088;187.456167
